% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.121	1	4	13	2	8	10	935	0	0	0
0.138	1	4	14	9	8	10	935	0	0	0
0.24	1	5	25	1	3	20	2385	0	0	0
0.321	1	9	33	2	4	20	2385	0	0	0
0.338	1	9	34	9	4	20	2385	0	0	0
0.355	1	4	36	6	8	10	935	0	0	0
0.471	1	2	48	2	1	10	935	0	0	0
0.488	1	2	49	9	1	10	935	0	0	0
0.705	1	2	71	6	1	10	935	0	0	0
0.922	1	2	93	3	1	10	935	0	0	0
1.357	1	5	136	8	3	20	2385	0	0	0
1.472	1	4	148	3	8	10	935	0	0	0
1.557	1	5	156	8	3	20	2385	0	0	0
1.674	1	5	168	5	3	20	2385	0	0	0
2.039	1	2	204	10	1	10	935	0	0	0
2.574	1	5	258	5	3	20	2385	0	0	0
2.589	1	4	259	10	8	10	935	0	0	0
2.774	1	5	278	5	3	20	2385	0	0	0
3.706	1	4	371	7	8	10	935	0	0	0
3.799	1	8	380	10	6	14	1527	0	0	0
4.823	1	4	483	4	8	10	935	0	0	0
4.916	1	8	492	7	6	14	1527	0	0	0
5.116	1	8	512	7	6	14	1527	0	0	0
5.233	1	8	524	4	6	14	1527	0	0	0
5.94	1	4	595	1	8	10	935	0	0	0
7.057	1	4	706	8	8	10	935	0	0	0
7.274	1	4	728	5	8	10	935	0	0	0
8.391	1	4	840	2	8	10	935	0	0	0
9.508	1	4	951	9	8	10	935	0	0	0
9.725	1	4	973	6	8	10	935	0	0	0
9.891	1	5	990	2	3	20	2385	0	0	0
9.942	1	4	995	3	8	10	935	0	0	0
10.108	1	5	1011	9	3	20	2385	0	0	0
10.159	1	4	1016	10	8	10	935	0	0	0
10.376	1	4	1038	7	8	10	935	0	0	0
11.493	1	4	1150	4	8	10	935	0	0	0
11.71	1	4	1172	1	8	10	935	0	0	0
11.927	1	4	1193	8	8	10	935	0	0	0
12.144	1	4	1215	5	8	10	935	0	0	0
12.361	1	4	1237	2	8	10	935	0	0	0
12.578	1	4	1258	9	8	10	935	0	0	0
19.695	1	4	1970	6	8	10	935	0	0	0
19.912	1	4	1992	3	8	10	935	0	0	0
20.129	1	4	2013	10	8	10	935	0	0	0
20.346	1	4	2035	7	8	10	935	0	0	0
20.563	1	4	2057	4	8	10	935	0	0	0
21.512	1	7	2152	3	2	8	839	0	0	0
21.68	1	4	2169	1	8	10	935	0	0	0
21.897	1	4	2190	8	8	10	935	0	0	0
22.114	1	4	2212	5	8	10	935	0	0	0
22.331	1	4	2234	2	8	10	935	0	0	0
24.512	1	7	2452	3	2	8	839	0	0	0
25.448	1	4	2545	9	8	10	935	0	0	0
28.565	1	4	2857	6	8	10	935	0	0	0
29.682	1	4	2969	3	8	10	935	0	0	0
29.899	1	4	2990	10	8	10	935	0	0	0
30.116	1	4	3012	7	8	10	935	0	0	0
30.333	1	4	3034	4	8	10	935	0	0	0
30.512	1	7	3052	3	2	8	839	0	0	0
30.55	1	4	3056	1	8	10	935	0	0	0
30.767	1	4	3077	8	8	10	935	0	0	0
30.984	1	4	3099	5	8	10	935	0	0	0
31.455	1	9	3146	6	4	20	2385	0	0	0
32.101	1	4	3211	2	8	10	935	0	0	0
32.318	1	4	3232	9	8	10	935	0	0	0
35.435	1	4	3544	6	8	10	935	0	0	0
36.552	1	4	3656	3	8	10	935	0	0	0
37.669	1	4	3767	10	8	10	935	0	0	0
38.786	1	4	3879	7	8	10	935	0	0	0
39.903	1	4	3991	4	8	10	935	0	0	0
42.512	1	7	4252	3	2	8	839	0	0	0
46.572	1	9	4658	3	4	20	2385	0	0	0
46.789	1	9	4679	10	4	20	2385	0	0	0
47.02	1	4	4703	1	8	10	935	0	0	0
47.237	1	4	4724	8	8	10	935	0	0	0
47.454	1	4	4746	5	8	10	935	0	0	0
47.671	1	4	4768	2	8	10	935	0	0	0
47.888	1	4	4789	9	8	10	935	0	0	0
47.906	1	9	4791	7	4	20	2385	0	0	0
49.005	1	4	4901	6	8	10	935	0	0	0
49.023	1	9	4903	4	4	20	2385	0	0	0
49.222	1	4	4923	3	8	10	935	0	0	0
49.439	1	4	4944	10	8	10	935	0	0	0
50.556	1	4	5056	7	8	10	935	0	0	0
50.773	1	4	5078	4	8	10	935	0	0	0
50.99	1	4	5100	1	8	10	935	0	0	0
51.207	1	4	5121	8	8	10	935	0	0	0
52.324	1	4	5233	5	8	10	935	0	0	0
53.441	1	4	5345	2	8	10	935	0	0	0
53.658	1	4	5366	9	8	10	935	0	0	0
