% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
123	1	4	8	0	0	10	935	0	1	1	0
140	1	4	8	0	0	10	935	0	1	1	0
242	1	5	3	0	0	20	2385	0	1	1	0
323	1	9	4	0	0	20	2385	0	1	1	0
340	1	9	4	0	0	20	2385	0	1	1	0
357	1	4	8	0	0	10	935	0	1	1	0
473	1	2	1	0	0	10	935	0	1	1	0
490	1	2	1	0	0	10	935	0	1	1	0
707	1	2	1	0	0	10	935	0	1	1	0
924	1	2	1	0	0	10	935	0	1	1	0
1359	1	5	3	0	0	20	2385	0	1	1	0
1474	1	4	8	0	0	10	935	0	1	1	0
1559	1	5	3	0	0	20	2385	0	1	1	0
1676	1	5	3	0	0	20	2385	0	1	1	0
2041	1	2	1	0	0	10	935	0	1	1	0
2576	1	5	3	0	0	20	2385	0	1	1	0
2591	1	4	8	0	0	10	935	0	1	1	0
2776	1	5	3	0	0	20	2385	0	1	1	0
3708	1	4	8	0	0	10	935	0	1	1	0
3801	1	8	6	0	0	14	1527	0	1	1	0
4825	1	4	8	0	0	10	935	0	1	1	0
4918	1	8	6	0	0	14	1527	0	1	1	0
5118	1	8	6	0	0	14	1527	0	1	1	0
5235	1	8	6	0	0	14	1527	0	1	1	0
5942	1	4	8	0	0	10	935	0	1	1	0
7059	1	4	8	0	0	10	935	0	1	1	0
7276	1	4	8	0	0	10	935	0	1	1	0
8393	1	4	8	0	0	10	935	0	1	1	0
9510	1	4	8	0	0	10	935	0	1	1	0
9727	1	4	8	0	0	10	935	0	1	1	0
9893	1	5	3	0	0	20	2385	0	1	1	0
9944	1	4	8	0	0	10	935	0	1	1	0
10110	1	5	3	0	0	20	2385	0	1	1	0
10161	1	4	8	0	0	10	935	0	1	1	0
10378	1	4	8	0	0	10	935	0	1	1	0
11495	1	4	8	0	0	10	935	0	1	1	0
11712	1	4	8	0	0	10	935	0	1	1	0
11929	1	4	8	0	0	10	935	0	1	1	0
12146	1	4	8	0	0	10	935	0	1	1	0
12363	1	4	8	0	0	10	935	0	1	1	0
12580	1	4	8	0	0	10	935	0	1	1	0
19697	1	4	8	0	0	10	935	0	1	1	0
19914	1	4	8	0	0	10	935	0	1	1	0
20131	1	4	8	0	0	10	935	0	1	1	0
20348	1	4	8	0	0	10	935	0	1	1	0
20565	1	4	8	0	0	10	935	0	1	1	0
21514	1	7	2	0	0	8	839	0	1	1	0
21682	1	4	8	0	0	10	935	0	1	1	0
21899	1	4	8	0	0	10	935	0	1	1	0
22116	1	4	8	0	0	10	935	0	1	1	0
22333	1	4	8	0	0	10	935	0	1	1	0
24514	1	7	2	0	0	8	839	0	1	1	0
25450	1	4	8	0	0	10	935	0	1	1	0
28567	1	4	8	0	0	10	935	0	1	1	0
29684	1	4	8	0	0	10	935	0	1	1	0
29901	1	4	8	0	0	10	935	0	1	1	0
30118	1	4	8	0	0	10	935	0	1	1	0
30335	1	4	8	0	0	10	935	0	1	1	0
30514	1	7	2	0	0	8	839	0	1	1	0
30552	1	4	8	0	0	10	935	0	1	1	0
30769	1	4	8	0	0	10	935	0	1	1	0
30986	1	4	8	0	0	10	935	0	1	1	0
31457	1	9	4	0	0	20	2385	0	1	1	0
32103	1	4	8	0	0	10	935	0	1	1	0
32320	1	4	8	0	0	10	935	0	1	1	0
35437	1	4	8	0	0	10	935	0	1	1	0
36554	1	4	8	0	0	10	935	0	1	1	0
37671	1	4	8	0	0	10	935	0	1	1	0
38788	1	4	8	0	0	10	935	0	1	1	0
39905	1	4	8	0	0	10	935	0	1	1	0
42514	1	7	2	0	0	8	839	0	1	1	0
46574	1	9	4	0	0	20	2385	0	1	1	0
46791	1	9	4	0	0	20	2385	0	1	1	0
47022	1	4	8	0	0	10	935	0	1	1	0
47239	1	4	8	0	0	10	935	0	1	1	0
47456	1	4	8	0	0	10	935	0	1	1	0
47673	1	4	8	0	0	10	935	0	1	1	0
47890	1	4	8	0	0	10	935	0	1	1	0
47908	1	9	4	0	0	20	2385	0	1	1	0
49007	1	4	8	0	0	10	935	0	1	1	0
49025	1	9	4	0	0	20	2385	0	1	1	0
49224	1	4	8	0	0	10	935	0	1	1	0
49441	1	4	8	0	0	10	935	0	1	1	0
50558	1	4	8	0	0	10	935	0	1	1	0
50775	1	4	8	0	0	10	935	0	1	1	0
50992	1	4	8	0	0	10	935	0	1	1	0
51209	1	4	8	0	0	10	935	0	1	1	0
52326	1	4	8	0	0	10	935	0	1	1	0
53443	1	4	8	0	0	10	935	0	1	1	0
53660	1	4	8	0	0	10	935	0	1	1	0
