% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.112	1	4	12	3	8	0	173	0
0.129	1	4	13	10	8	4	453	0
0.13	1	4	14	1	8	4	453	0
0.146	1	4	15	7	8	4	453	0
0.231	1	5	24	2	3	0	173	0
0.248	1	5	25	9	3	14	1620	0
0.249	1	5	25	10	3	14	1620	0
0.312	1	9	32	3	4	0	173	0
0.329	1	9	33	10	4	14	1620	0
0.33	1	9	34	1	4	14	1620	0
0.346	1	9	35	7	4	14	1620	0
0.363	1	4	37	4	8	4	453	0
0.403	1	7	41	4	2	2	277	0
0.462	1	2	47	3	1	4	453	0
0.479	1	2	48	10	1	4	453	0
0.48	1	2	49	1	1	4	453	0
0.496	1	2	50	7	1	4	453	0
0.69	1	8	70	1	6	6	645	0
0.7	1	3	71	1	7	12	1239	0
0.713	1	2	72	4	1	4	453	0
0.93	1	2	94	1	1	4	453	0
1.122	1	1	113	3	9	16	1908	0
1.248	1	5	125	9	3	14	1620	0
1.253	1	6	126	4	5	4	453	0
1.346	1	9	135	7	4	14	1620	0
1.363	1	4	137	4	8	4	453	0
1.365	1	5	137	6	3	14	1620	0
1.48	1	4	149	1	8	4	453	0
1.565	1	5	157	6	3	14	1620	0
1.93	1	2	194	1	1	4	453	0
2.047	1	2	205	8	1	4	453	0
2.48	1	4	249	1	8	4	453	0
2.565	1	5	257	6	3	14	1620	0
2.582	1	5	259	3	3	14	1620	0
2.597	1	4	260	8	8	4	453	0
2.782	1	5	279	3	3	14	1620	0
3.047	1	2	305	8	1	4	453	0
3.346	1	9	335	7	4	14	1620	0
3.403	1	7	341	4	2	2	277	0
3.597	1	4	360	8	8	4	453	0
3.69	1	8	370	1	6	6	645	0
3.7	1	3	371	1	7	12	1239	0
3.714	1	4	372	5	8	4	453	0
3.782	1	5	379	3	3	14	1620	0
3.807	1	8	381	8	6	6	645	0
3.808	1	8	381	9	6	6	645	0
4.122	1	1	413	3	9	16	1908	0
4.253	1	6	426	4	5	4	453	0
4.714	1	4	472	5	8	4	453	0
4.807	1	8	481	8	6	6	645	0
4.831	1	4	484	2	8	4	453	0
4.924	1	8	493	5	6	6	645	0
5.047	1	2	505	8	1	4	453	0
5.124	1	8	513	5	6	6	645	0
5.782	1	5	579	3	3	14	1620	0
5.831	1	4	584	2	8	4	453	0
5.948	1	4	595	9	8	4	453	0
6.124	1	8	613	5	6	6	645	0
6.948	1	4	695	9	8	4	453	0
7.065	1	4	707	6	8	4	453	0
7.282	1	4	729	3	8	4	453	0
7.346	1	9	735	7	4	14	1620	0
8.124	1	8	813	5	6	6	645	0
8.282	1	4	829	3	8	4	453	0
8.399	1	4	840	10	8	4	453	0
9.047	1	2	905	8	1	4	453	0
9.399	1	4	940	10	8	4	453	0
9.403	1	7	941	4	2	2	277	0
9.516	1	4	952	7	8	4	453	0
9.7	1	3	971	1	7	12	1239	0
9.733	1	4	974	4	8	4	453	0
9.782	1	5	979	3	3	14	1620	0
9.899	1	5	990	10	3	14	1620	0
9.95	1	4	996	1	8	4	453	0
10.116	1	5	1012	7	3	14	1620	0
10.122	1	1	1013	3	9	16	1908	0
10.167	1	4	1017	8	8	4	453	0
10.253	1	6	1026	4	5	4	453	0
10.384	1	4	1039	5	8	4	453	0
11.116	1	5	1112	7	3	14	1620	0
11.384	1	4	1139	5	8	4	453	0
