% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	2	1	2.39149	0
0.322	1	7	2	1.62484	0
0.323	1	5	3	15.9179	0
0.324	1	9	4	18.1275	0
0.325	1	6	5	1.9242	0
0.326	1	8	6	4.46179	0
0.327	1	3	7	12.1007	0
0.328	1	4	8	2.11418	0
0.329	1	1	9	29.7023	0
0.641	1	2	1	2.39149	0
0.642	1	7	2	1.62484	0
0.643	1	5	3	15.9179	0
0.644	1	9	4	18.1275	0
0.645	1	6	5	1.9242	0
0.646	1	8	6	4.46179	0
0.647	1	3	7	12.1007	0
0.648	1	4	8	2.11418	0
0.649	1	1	9	29.7023	0
0.961	1	2	1	2.39149	0
0.962	1	7	2	1.62484	0
0.963	1	5	3	15.9179	0
0.964	1	9	4	18.1275	0
0.965	1	6	5	1.9242	0
0.966	1	8	6	4.46179	0
0.967	1	3	7	12.1007	0
0.968	1	4	8	2.11418	0
0.969	1	1	9	29.7023	0
1.281	1	2	1	2.39149	0
1.282	1	7	2	1.62484	0
1.283	1	5	3	15.9179	0
1.284	1	9	4	18.1275	0
1.285	1	6	5	1.9242	0
1.286	1	8	6	4.46179	0
1.287	1	3	7	12.1007	0
1.288	1	4	8	2.11418	0
1.289	1	1	9	29.7023	0
1.601	1	2	1	2.39149	0
1.602	1	7	2	1.62484	0
1.603	1	5	3	15.9179	0
1.604	1	9	4	18.1275	0
1.605	1	6	5	1.9242	0
1.606	1	8	6	4.46179	0
1.607	1	3	7	12.1007	0
1.608	1	4	8	2.11418	0
1.609	1	1	9	29.7023	0
1.921	1	2	1	2.39149	0
1.922	1	7	2	1.62484	0
1.923	1	5	3	15.9179	0
1.924	1	9	4	18.1275	0
1.925	1	6	5	1.9242	0
1.926	1	8	6	4.46179	0
1.927	1	3	7	12.1007	0
1.928	1	4	8	2.11418	0
1.929	1	1	9	29.7023	0
2.241	1	2	1	2.39149	0
2.242	1	7	2	1.62484	0
2.243	1	5	3	15.9179	0
2.244	1	9	4	18.1275	0
2.245	1	6	5	1.9242	0
2.246	1	8	6	4.46179	0
2.247	1	3	7	12.1007	0
2.248	1	4	8	2.11418	0
2.249	1	1	9	29.7023	0
2.561	1	2	1	2.39149	0
2.562	1	7	2	1.62484	0
2.563	1	5	3	15.9179	0
2.564	1	9	4	18.1275	0
2.565	1	6	5	1.9242	0
2.566	1	8	6	4.46179	0
2.567	1	3	7	12.1007	0
2.568	1	4	8	2.11418	0
2.569	1	1	9	29.7023	0
2.881	1	2	1	2.39149	0
2.882	1	7	2	1.62484	0
2.883	1	5	3	15.9179	0
2.884	1	9	4	18.1275	0
2.885	1	6	5	1.9242	0
2.886	1	8	6	4.46179	0
2.887	1	3	7	12.1007	0
2.888	1	4	8	2.11418	0
2.889	1	1	9	29.7023	0
3.201	1	2	1	2.39149	0
3.202	1	7	2	1.62484	0
3.203	1	5	3	15.9179	0
3.204	1	9	4	18.1275	0
3.205	1	6	5	1.9242	0
3.206	1	8	6	4.46179	0
3.207	1	3	7	12.1007	0
3.208	1	4	8	2.11418	0
3.209	1	1	9	29.7023	0
3.521	1	2	1	2.39149	0
3.522	1	7	2	1.62484	0
3.523	1	5	3	15.9179	0
3.524	1	9	4	18.1275	0
3.525	1	6	5	1.9242	0
3.526	1	8	6	4.46179	0
3.527	1	3	7	12.1007	0
3.528	1	4	8	2.11418	0
3.529	1	1	9	29.7023	0
3.841	1	2	1	2.39149	0
3.842	1	7	2	1.62484	0
3.843	1	5	3	15.9179	0
3.844	1	9	4	18.1275	0
3.845	1	6	5	1.9242	0
3.846	1	8	6	4.46179	0
3.847	1	3	7	12.1007	0
3.848	1	4	8	2.11418	0
3.849	1	1	9	29.7023	0
4.161	1	2	1	2.39149	0
4.162	1	7	2	1.62484	0
4.163	1	5	3	15.9179	0
4.164	1	9	4	18.1275	0
