% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
118	1	4	8	0	0	173	0	1	0
135	1	4	8	0	4	453	0	1	0
136	1	4	8	0	4	453	0	1	0
152	1	4	8	0	4	453	0	1	0
237	1	5	3	0	0	173	0	1	0
254	1	5	3	0	14	1620	0	1	0
255	1	5	3	0	14	1620	0	1	0
318	1	9	4	0	0	173	0	1	0
335	1	9	4	0	14	1620	0	1	0
336	1	9	4	0	14	1620	0	1	0
352	1	9	4	0	14	1620	0	1	0
369	1	4	8	0	4	453	0	1	0
409	1	7	2	0	2	277	0	1	0
468	1	2	1	0	4	453	0	1	0
485	1	2	1	0	4	453	0	1	0
486	1	2	1	0	4	453	0	1	0
502	1	2	1	0	4	453	0	1	0
696	1	8	6	0	6	645	0	1	0
706	1	3	7	0	12	1239	0	1	0
719	1	2	1	0	4	453	0	1	0
936	1	2	1	0	4	453	0	1	0
1128	1	1	9	0	16	1908	0	1	0
1254	1	5	3	0	14	1620	0	1	0
1259	1	6	5	0	4	453	0	1	0
1352	1	9	4	0	14	1620	0	1	0
1369	1	4	8	0	4	453	0	1	0
1371	1	5	3	0	14	1620	0	1	0
1486	1	4	8	0	4	453	0	1	0
1571	1	5	3	0	14	1620	0	1	0
1936	1	2	1	0	4	453	0	1	0
2053	1	2	1	0	4	453	0	1	0
2486	1	4	8	0	4	453	0	1	0
2571	1	5	3	0	14	1620	0	1	0
2588	1	5	3	0	14	1620	0	1	0
2603	1	4	8	0	4	453	0	1	0
2788	1	5	3	0	14	1620	0	1	0
3053	1	2	1	0	4	453	0	1	0
3352	1	9	4	0	14	1620	0	1	0
3409	1	7	2	0	2	277	0	1	0
3603	1	4	8	0	4	453	0	1	0
3696	1	8	6	0	6	645	0	1	0
3706	1	3	7	0	12	1239	0	1	0
3720	1	4	8	0	4	453	0	1	0
3788	1	5	3	0	14	1620	0	1	0
3813	1	8	6	0	6	645	0	1	0
3814	1	8	6	0	6	645	0	1	0
4128	1	1	9	0	16	1908	0	1	0
4259	1	6	5	0	4	453	0	1	0
4720	1	4	8	0	4	453	0	1	0
4813	1	8	6	0	6	645	0	1	0
4837	1	4	8	0	4	453	0	1	0
4930	1	8	6	0	6	645	0	1	0
5053	1	2	1	0	4	453	0	1	0
5130	1	8	6	0	6	645	0	1	0
5788	1	5	3	0	14	1620	0	1	0
5837	1	4	8	0	4	453	0	1	0
5954	1	4	8	0	4	453	0	1	0
6130	1	8	6	0	6	645	0	1	0
6954	1	4	8	0	4	453	0	1	0
7071	1	4	8	0	4	453	0	1	0
7288	1	4	8	0	4	453	0	1	0
7352	1	9	4	0	14	1620	0	1	0
8130	1	8	6	0	6	645	0	1	0
8288	1	4	8	0	4	453	0	1	0
8405	1	4	8	0	4	453	0	1	0
9053	1	2	1	0	4	453	0	1	0
9405	1	4	8	0	4	453	0	1	0
9409	1	7	2	0	2	277	0	1	0
9522	1	4	8	0	4	453	0	1	0
9706	1	3	7	0	12	1239	0	1	0
9739	1	4	8	0	4	453	0	1	0
9788	1	5	3	0	14	1620	0	1	0
9905	1	5	3	0	14	1620	0	1	0
9956	1	4	8	0	4	453	0	1	0
10122	1	5	3	0	14	1620	0	1	0
10128	1	1	9	0	16	1908	0	1	0
10173	1	4	8	0	4	453	0	1	0
10259	1	6	5	0	4	453	0	1	0
10390	1	4	8	0	4	453	0	1	0
11122	1	5	3	0	14	1620	0	1	0
11390	1	4	8	0	4	453	0	1	0
11507	1	4	8	0	4	453	0	1	0
11724	1	4	8	0	4	453	0	1	0
11941	1	4	8	0	4	453	0	1	0
12130	1	8	6	0	6	645	0	1	0
12158	1	4	8	0	4	453	0	1	0
12375	1	4	8	0	4	453	0	1	0
12592	1	4	8	0	4	453	0	1	0
13122	1	5	3	0	14	1620	0	1	0
13592	1	4	8	0	4	453	0	1	0
15352	1	9	4	0	14	1620	0	1	0
15592	1	4	8	0	4	453	0	1	0
17053	1	2	1	0	4	453	0	1	0
17122	1	5	3	0	14	1620	0	1	0
19592	1	4	8	0	4	453	0	1	0
19709	1	4	8	0	4	453	0	1	0
19926	1	4	8	0	4	453	0	1	0
20130	1	8	6	0	6	645	0	1	0
20143	1	4	8	0	4	453	0	1	0
20360	1	4	8	0	4	453	0	1	0
20577	1	4	8	0	4	453	0	1	0
21409	1	7	2	0	2	277	0	1	0
21526	1	7	2	0	2	277	0	1	0
21527	1	7	2	0	2	277	0	1	0
21577	1	4	8	0	4	453	0	1	0
21694	1	4	8	0	4	453	0	1	0
21706	1	3	7	0	12	1239	0	1	0
21911	1	4	8	0	4	453	0	1	0
22128	1	1	9	0	16	967	0	1	0
22128	1	4	8	0	4	225	0	1	0
22259	1	6	5	0	4	453	0	1	0
22345	1	4	8	0	4	453	0	1	0
22526	1	7	2	0	2	277	0	1	0
23345	1	4	8	0	4	453	0	1	0
24526	1	7	2	0	2	277	0	1	0
25122	1	5	3	0	14	1620	0	1	0
25345	1	4	8	0	4	453	0	1	0
25462	1	4	8	0	4	453	0	1	0
