% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
27	1	1	1	0	0	81	0	1	0
304	1	3	2	0	28	2196	0	1	0
305	1	4	3	0	28	2196	0	1	0
306	1	9	4	0	28	2196	0	1	0
42	1	1	1	0	28	2196	0	1	0
43	1	1	1	0	28	2196	0	1	0
307	1	7	9	0	28	2196	0	1	0
48	1	1	1	0	28	2196	0	1	0
308	1	2	10	0	28	2196	0	1	0
50	1	1	1	0	28	2196	0	1	0
309	1	10	11	0	28	2196	0	1	0
58	1	1	1	0	28	2196	0	1	0
60	1	1	1	0	28	2196	0	1	0
310	1	1	12	0	28	2196	0	1	0
68	1	1	1	0	28	2196	0	1	0
311	1	5	15	0	28	2196	0	1	0
70	1	1	1	0	28	2196	0	1	0
72	1	1	1	0	28	2196	0	1	0
312	1	8	16	0	28	2196	0	1	0
78	1	1	1	0	28	2196	0	1	0
80	1	1	1	0	28	2196	0	1	0
313	1	6	1	0	28	2196	0	1	0
314	1	3	2	0	28	2196	0	1	0
88	1	1	1	0	28	2196	0	1	0
90	1	1	1	0	28	2196	0	1	0
315	1	4	3	0	28	2196	0	1	0
98	1	1	1	0	28	2196	0	1	0
100	1	1	1	0	28	2196	0	1	0
316	1	9	4	0	28	2196	0	1	0
103	1	1	1	0	28	2196	0	1	0
317	1	7	9	0	28	2196	0	1	0
108	2	1	1	0	0	81	0	1	0
318	1	2	10	0	28	2196	0	1	0
109	2	1	1	0	0	81	0	1	0
110	2	1	1	0	0	81	0	1	0
111	2	1	1	0	0	81	0	1	0
112	2	1	1	0	28	2196	0	1	0
113	2	1	1	0	28	2196	0	1	0
319	1	10	11	0	28	2196	0	1	0
114	2	1	1	0	28	2196	0	1	0
115	2	1	1	0	28	2196	0	1	0
116	2	1	1	0	28	2196	0	1	0
117	2	1	1	0	28	2196	0	1	0
320	1	1	12	0	28	2196	0	1	0
118	2	1	1	0	28	2196	0	1	0
120	2	1	1	0	28	2196	0	1	0
321	1	5	15	0	28	2196	0	1	0
121	2	1	1	0	28	2196	0	1	0
322	1	8	16	0	28	2196	0	1	0
128	2	1	1	0	28	2196	0	1	0
130	2	1	1	0	28	2196	0	1	0
323	1	6	1	0	28	2196	0	1	0
324	1	3	2	0	28	2196	0	1	0
138	2	1	1	0	28	2196	0	1	0
140	2	1	1	0	28	2196	0	1	0
325	1	4	3	0	28	2196	0	1	0
148	2	1	1	0	28	2196	0	1	0
326	1	9	4	0	28	2196	0	1	0
150	2	1	1	0	28	2196	0	1	0
327	1	7	9	0	28	2196	0	1	0
158	2	1	1	0	28	2196	0	1	0
160	2	1	1	0	28	2196	0	1	0
328	1	2	10	0	28	2196	0	1	0
168	2	1	1	0	28	2196	0	1	0
329	1	10	11	0	28	2196	0	1	0
170	2	1	1	0	28	2196	0	1	0
330	1	1	12	0	28	2196	0	1	0
178	2	1	1	0	28	2196	0	1	0
180	2	1	1	0	28	2196	0	1	0
331	1	5	15	0	28	2196	0	1	0
188	2	1	1	0	28	2196	0	1	0
332	1	8	16	0	28	2196	0	1	0
190	2	1	1	0	28	2196	0	1	0
333	1	6	1	0	28	2196	0	1	0
198	2	1	1	0	28	2196	0	1	0
200	2	1	1	0	28	2196	0	1	0
334	1	3	2	0	28	2196	0	1	0
335	1	4	3	0	28	2196	0	1	0
208	2	1	1	0	28	2196	0	1	0
210	2	1	1	0	28	2196	0	1	0
336	1	9	4	0	28	2196	0	1	0
218	2	1	1	0	28	2196	0	1	0
337	1	7	9	0	28	2196	0	1	0
220	2	1	1	0	28	2196	0	1	0
338	1	2	10	0	28	2196	0	1	0
228	2	1	1	0	28	2196	0	1	0
230	2	1	1	0	28	2196	0	1	0
339	1	10	11	0	28	2196	0	1	0
238	2	1	1	0	28	2196	0	1	0
340	1	1	12	0	28	2196	0	1	0
240	2	1	1	0	28	2196	0	1	0
341	1	5	15	0	28	2196	0	1	0
248	2	1	1	0	28	2196	0	1	0
250	2	1	1	0	28	2196	0	1	0
342	1	8	16	0	28	2196	0	1	0
343	1	6	1	0	28	2196	0	1	0
258	2	1	1	0	28	2196	0	1	0
260	2	1	1	0	28	2196	0	1	0
344	1	3	2	0	28	2196	0	1	0
268	2	1	1	0	28	2196	0	1	0
270	2	1	1	0	28	2196	0	1	0
345	1	4	3	0	28	2196	0	1	0
346	1	9	4	0	28	2196	0	1	0
278	2	1	1	0	28	2196	0	1	0
280	2	1	1	0	28	2196	0	1	0
347	1	7	9	0	28	2196	0	1	0
288	2	1	1	0	28	2196	0	1	0
290	2	1	1	0	28	2196	0	1	0
348	1	2	10	0	28	2196	0	1	0
349	1	10	11	0	28	2196	0	1	0
298	2	1	1	0	28	2196	0	1	0
350	1	1	12	0	28	2196	0	1	0
351	1	5	15	0	28	2196	0	1	0
352	1	8	16	0	28	2196	0	1	0
353	1	6	1	0	28	2196	0	1	0
354	1	3	2	0	28	2196	0	1	0
355	1	4	3	0	28	2196	0	1	0
356	1	9	4	0	28	2196	0	1	0
357	1	7	9	0	28	2196	0	1	0
358	1	2	10	0	28	2196	0	1	0
359	1	10	11	0	28	2196	0	1	0
360	1	1	12	0	28	2196	0	1	0
361	1	5	15	0	28	2196	0	1	0
362	1	8	16	0	28	2196	0	1	0
363	1	6	1	0	28	2196	0	1	0
364	1	3	2	0	28	2196	0	1	0
365	1	4	3	0	28	2196	0	1	0
366	1	9	4	0	28	2196	0	1	0
367	1	7	9	0	28	2196	0	1	0
368	1	2	10	0	28	2196	0	1	0
369	1	10	11	0	28	2196	0	1	0
370	1	1	12	0	28	2196	0	1	0
371	1	5	15	0	28	2196	0	1	0
372	1	8	16	0	28	2196	0	1	0
373	1	6	1	0	28	2196	0	1	0
374	1	3	2	0	28	2196	0	1	0
375	1	4	3	0	28	2196	0	1	0
376	1	9	4	0	28	2196	0	1	0
377	1	7	9	0	28	2196	0	1	0
378	1	2	10	0	28	2196	0	1	0
379	1	10	11	0	28	2196	0	1	0
380	1	1	12	0	28	2196	0	1	0
381	1	5	15	0	28	2196	0	1	0
382	1	8	16	0	28	2196	0	1	0
383	1	6	1	0	28	2196	0	1	0
384	1	3	2	0	28	2196	0	1	0
385	1	4	3	0	28	2196	0	1	0
386	1	9	4	0	28	2196	0	1	0
387	1	7	9	0	28	2196	0	1	0
388	1	2	10	0	28	2196	0	1	0
389	1	10	11	0	28	2196	0	1	0
390	1	1	12	0	28	2196	0	1	0
391	1	5	15	0	28	2196	0	1	0
392	1	8	16	0	28	2196	0	1	0
393	1	6	1	0	28	2196	0	1	0
394	1	3	2	0	28	2196	0	1	0
395	1	4	3	0	28	2196	0	1	0
396	1	9	4	0	28	2196	0	1	0
397	1	7	9	0	28	2196	0	1	0
398	1	2	10	0	28	2196	0	1	0
399	1	10	11	0	28	2196	0	1	0
400	1	1	12	0	28	2196	0	1	0
401	1	5	15	0	28	2196	0	1	0
402	1	8	16	0	28	2196	0	1	0
403	1	6	1	0	28	2196	0	1	0
404	1	3	2	0	28	2196	0	1	0
405	1	4	3	0	28	2196	0	1	0
406	1	9	4	0	28	2196	0	1	0
407	1	7	9	0	28	2196	0	1	0
408	1	2	10	0	28	2196	0	1	0
409	1	10	11	0	28	2196	0	1	0
410	1	1	12	0	28	2196	0	1	0
411	1	5	15	0	28	2196	0	1	0
412	1	8	16	0	28	2196	0	1	0
413	1	6	1	0	28	2196	0	1	0
414	1	3	2	0	28	2196	0	1	0
415	1	4	3	0	28	2196	0	1	0
416	1	9	4	0	28	2196	0	1	0
417	1	7	9	0	28	2196	0	1	0
418	1	2	10	0	28	2196	0	1	0
419	1	10	11	0	28	2196	0	1	0
420	1	1	12	0	28	2196	0	1	0
421	1	5	15	0	28	2196	0	1	0
422	1	8	16	0	28	2196	0	1	0
423	1	6	1	0	28	2196	0	1	0
424	1	3	2	0	28	2196	0	1	0
425	1	4	3	0	28	2196	0	1	0
426	1	9	4	0	28	2196	0	1	0
427	1	7	9	0	28	2196	0	1	0
428	1	2	10	0	28	2196	0	1	0
429	1	10	11	0	28	2196	0	1	0
430	1	1	12	0	28	2196	0	1	0
431	1	5	15	0	28	2196	0	1	0
432	1	8	16	0	28	2196	0	1	0
433	1	6	1	0	28	2196	0	1	0
434	1	3	2	0	28	2196	0	1	0
435	1	4	3	0	28	2196	0	1	0
436	1	9	4	0	28	2196	0	1	0
437	1	7	9	0	28	2196	0	1	0
438	1	2	10	0	28	2196	0	1	0
439	1	10	11	0	28	2196	0	1	0
440	1	1	12	0	28	2196	0	1	0
441	1	5	15	0	28	2196	0	1	0
442	1	8	16	0	28	2196	0	1	0
443	1	6	1	0	28	2196	0	1	0
444	1	3	2	0	28	2196	0	1	0
445	1	4	3	0	28	2196	0	1	0
446	1	9	4	0	28	2196	0	1	0
447	1	7	9	0	28	2196	0	1	0
448	1	2	10	0	28	2196	0	1	0
449	1	10	11	0	28	2196	0	1	0
450	1	1	12	0	28	2196	0	1	0
451	1	5	15	0	28	2196	0	1	0
452	1	8	16	0	28	2196	0	1	0
453	1	6	1	0	28	2196	0	1	0
454	1	3	2	0	28	2196	0	1	0
455	1	4	3	0	28	2196	0	1	0
456	1	9	4	0	28	2196	0	1	0
457	1	7	9	0	28	2196	0	1	0
458	1	2	10	0	28	2196	0	1	0
