% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.033	1	1	4	4	1	0	85	0
0.305	1	10	31	6	11	28	277	0
0.305	1	1	31	6	12	28	277	0
0.305	1	5	31	6	15	28	277	0
0.305	1	8	31	6	16	28	277	0
0.305	1	6	31	6	1	28	277	0
0.305	1	3	31	6	2	28	277	0
0.305	1	4	31	6	3	28	277	0
0.305	1	9	31	6	4	28	277	0
0.306	1	7	31	7	9	28	277	0
0.041	1	1	5	2	1	28	2292	0
0.306	1	2	31	7	10	28	277	0
0.306	1	10	31	7	11	28	277	0
0.306	1	1	31	7	12	28	277	0
0.306	1	5	31	7	15	28	277	0
0.306	1	8	31	7	16	28	277	0
0.306	1	6	31	7	1	28	277	0
0.306	1	3	31	7	2	28	277	0
0.043	1	1	5	4	1	28	2292	0
0.307	1	4	31	8	3	28	277	0
0.307	1	9	31	8	4	28	277	0
0.307	1	7	31	8	9	28	277	0
0.307	1	2	31	8	10	28	277	0
0.307	1	10	31	8	11	28	277	0
0.307	1	1	31	8	12	28	277	0
0.307	1	5	31	8	15	28	277	0
0.307	1	8	31	8	16	28	277	0
0.049	1	1	5	10	1	28	2292	0
0.308	1	6	31	9	1	28	277	0
0.308	1	3	31	9	2	28	277	0
0.308	1	4	31	9	3	28	277	0
0.308	1	9	31	9	4	28	277	0
0.308	1	7	31	9	9	28	277	0
0.308	1	2	31	9	10	28	277	0
0.308	1	10	31	9	11	28	277	0
0.308	1	1	31	9	12	28	277	0
0.051	1	1	6	2	1	28	2292	0
0.053	1	1	6	4	1	28	2292	0
0.309	1	5	31	10	15	28	277	0
0.309	1	8	31	10	16	28	277	0
0.309	1	6	31	10	1	28	277	0
0.309	1	3	31	10	2	28	277	0
0.309	1	4	31	10	3	28	277	0
0.309	1	9	31	10	4	28	277	0
0.309	1	7	31	10	9	28	277	0
0.309	1	2	31	10	10	28	277	0
0.061	1	1	7	2	1	28	2292	0
0.063	1	1	7	4	1	28	2292	0
0.31	1	10	32	1	11	28	277	0
0.31	1	1	32	1	12	28	277	0
0.31	1	5	32	1	15	28	277	0
0.31	1	8	32	1	16	28	277	0
0.31	1	6	32	1	1	28	277	0
0.31	1	3	32	1	2	28	277	0
0.31	1	4	32	1	3	28	277	0
0.31	1	9	32	1	4	28	277	0
0.069	1	1	7	10	1	28	2292	0
0.311	1	7	32	2	9	28	277	0
0.311	1	2	32	2	10	28	277	0
0.311	1	10	32	2	11	28	277	0
0.311	1	1	32	2	12	28	277	0
0.311	1	5	32	2	15	28	277	0
0.311	1	8	32	2	16	28	277	0
0.311	1	6	32	2	1	28	277	0
0.311	1	3	32	2	2	28	277	0
0.071	1	1	8	2	1	28	2292	0
0.073	1	1	8	4	1	28	2292	0
0.312	1	4	32	3	3	28	277	0
0.312	1	9	32	3	4	28	277	0
0.312	1	7	32	3	9	28	277	0
0.312	1	2	32	3	10	28	277	0
0.312	1	10	32	3	11	28	277	0
0.312	1	1	32	3	12	28	277	0
0.312	1	5	32	3	15	28	277	0
0.312	1	8	32	3	16	28	277	0
0.081	1	1	9	2	1	28	2292	0
0.313	1	6	32	4	1	28	277	0
0.313	1	3	32	4	2	28	277	0
0.313	1	4	32	4	3	28	277	0
0.313	1	9	32	4	4	28	277	0
0.313	1	7	32	4	9	28	277	0
0.313	1	2	32	4	10	28	277	0
0.313	1	10	32	4	11	28	277	0
0.313	1	1	32	4	12	28	277	0
0.083	1	1	9	4	1	28	2292	0
0.314	1	5	32	5	15	28	277	0
0.314	1	8	32	5	16	28	277	0
0.314	1	6	32	5	1	28	277	0
0.314	1	3	32	5	2	28	277	0
0.314	1	4	32	5	3	28	277	0
0.314	1	9	32	5	4	28	277	0
0.314	1	7	32	5	9	28	277	0
0.314	1	2	32	5	10	28	277	0
0.091	1	1	10	2	1	28	2292	0
0.093	1	1	10	4	1	28	2292	0
0.315	1	10	32	6	11	28	277	0
0.315	1	1	32	6	12	28	277	0
0.315	1	5	32	6	15	28	277	0
0.315	1	8	32	6	16	28	277	0
0.315	1	6	32	6	1	28	277	0
0.315	1	3	32	6	2	28	277	0
0.315	1	4	32	6	3	28	277	0
0.315	1	9	32	6	4	28	277	0
0.316	1	7	32	7	9	28	277	0
0.316	1	2	32	7	10	28	277	0
0.316	1	10	32	7	11	28	277	0
0.316	1	1	32	7	12	28	277	0
0.316	1	5	32	7	15	28	277	0
0.316	1	8	32	7	16	28	277	0
0.316	1	6	32	7	1	28	277	0
0.316	1	3	32	7	2	28	277	0
0.101	1	1	11	2	1	28	2292	0
0.103	1	1	11	4	1	28	2292	0
0.317	1	4	32	8	3	28	277	0
0.317	1	9	32	8	4	28	277	0
0.317	1	7	32	8	9	28	277	0
0.317	1	2	32	8	10	28	277	0
0.317	1	10	32	8	11	28	277	0
0.317	1	1	32	8	12	28	277	0
0.317	1	5	32	8	15	28	277	0
0.317	1	8	32	8	16	28	277	0
0.318	1	6	32	9	1	28	277	0
0.318	1	3	32	9	2	28	277	0
0.318	1	4	32	9	3	28	277	0
0.318	1	9	32	9	4	28	277	0
0.318	1	7	32	9	9	28	277	0
0.318	1	2	32	9	10	28	277	0
0.318	1	10	32	9	11	28	277	0
0.318	1	1	32	9	12	28	277	0
0.111	2	1	12	2	1	0	85	0
0.112	2	1	12	3	1	0	85	0
0.113	2	1	12	4	1	0	85	0
0.114	2	1	12	5	1	0	85	0
0.319	1	5	32	10	15	28	277	0
0.319	1	8	32	10	16	28	277	0
0.319	1	6	32	10	1	28	277	0
0.319	1	3	32	10	2	28	277	0
0.319	1	4	32	10	3	28	277	0
0.319	1	9	32	10	4	28	277	0
0.319	1	7	32	10	9	28	277	0
0.319	1	2	32	10	10	28	277	0
0.115	2	1	12	6	1	0	85	0
0.116	2	1	12	7	1	0	85	0
0.117	2	1	12	8	1	0	85	0
0.32	1	10	33	1	11	28	277	0
0.32	1	1	33	1	12	28	277	0
0.32	1	5	33	1	15	28	277	0
0.32	1	8	33	1	16	28	277	0
0.32	1	6	33	1	1	28	277	0
0.32	1	3	33	1	2	28	277	0
0.32	1	4	33	1	3	28	277	0
0.32	1	9	33	1	4	28	277	0
0.118	2	1	12	9	1	28	2292	0
0.121	2	1	13	2	1	28	2292	0
0.321	1	7	33	2	9	28	277	0
0.321	1	2	33	2	10	28	277	0
0.321	1	10	33	2	11	28	277	0
0.321	1	1	33	2	12	28	277	0
0.321	1	5	33	2	15	28	277	0
0.321	1	8	33	2	16	28	277	0
0.321	1	6	33	2	1	28	277	0
0.321	1	3	33	2	2	28	277	0
0.122	2	1	13	3	1	28	2292	0
0.123	2	1	13	4	1	28	2292	0
0.124	2	1	13	5	1	28	2292	0
0.322	1	4	33	3	3	28	277	0
0.322	1	9	33	3	4	28	277	0
0.322	1	7	33	3	9	28	277	0
0.322	1	2	33	3	10	28	277	0
0.322	1	10	33	3	11	28	277	0
0.322	1	1	33	3	12	28	277	0
0.322	1	5	33	3	15	28	277	0
0.322	1	8	33	3	16	28	277	0
0.127	2	1	13	8	1	28	2292	0
0.131	2	1	14	2	1	28	2292	0
0.323	1	6	33	4	1	28	277	0
0.323	1	3	33	4	2	28	277	0
0.323	1	4	33	4	3	28	277	0
0.323	1	9	33	4	4	28	277	0
