% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	5324.58	0
0.081	1	1	1	5324.57	0
0.321	1	6	1	1.76517e+06	0
0.121	2	1	1	5324.57	0
0.322	1	3	2	1.76517e+06	0
0.323	1	4	3	1.76517e+06	0
0.324	1	9	4	1.76517e+06	0
0.161	2	1	1	5324.57	0
0.329	1	7	9	1.76517e+06	0
0.33	1	2	10	1.76517e+06	0
0.331	1	10	11	1.76517e+06	0
0.332	1	1	12	1.76517e+06	0
0.201	2	1	1	5324.57	0
0.335	1	5	15	1.76517e+06	0
0.336	1	8	16	1.76517e+06	0
0.241	2	1	1	5324.57	0
0.281	2	1	1	5324.57	0
0.481	1	6	1	1.76517e+06	0
0.482	1	3	2	1.76517e+06	0
0.483	1	4	3	1.76517e+06	0
0.484	1	9	4	1.76517e+06	0
0.489	1	7	9	1.76517e+06	0
0.49	1	2	10	1.76517e+06	0
0.491	1	10	11	1.76517e+06	0
0.492	1	1	12	1.76517e+06	0
0.495	1	5	15	1.76517e+06	0
0.496	1	8	16	1.76517e+06	0
0.641	1	6	1	1.76517e+06	0
0.642	1	3	2	1.76517e+06	0
0.643	1	4	3	1.76517e+06	0
0.644	1	9	4	1.76517e+06	0
0.649	1	7	9	1.76517e+06	0
0.65	1	2	10	1.76517e+06	0
0.651	1	10	11	1.76517e+06	0
0.652	1	1	12	1.76517e+06	0
0.655	1	5	15	1.76517e+06	0
0.656	1	8	16	1.76517e+06	0
0.801	1	6	1	1.76517e+06	0
0.802	1	3	2	1.76517e+06	0
0.803	1	4	3	1.76517e+06	0
0.804	1	9	4	1.76517e+06	0
0.809	1	7	9	1.76517e+06	0
0.81	1	2	10	1.76517e+06	0
0.811	1	10	11	1.76517e+06	0
0.812	1	1	12	1.76517e+06	0
0.815	1	5	15	1.76517e+06	0
0.816	1	8	16	1.76517e+06	0
0.961	1	6	1	1.76517e+06	0
0.962	1	3	2	1.76517e+06	0
0.963	1	4	3	1.76517e+06	0
0.964	1	9	4	1.76517e+06	0
0.969	1	7	9	1.76517e+06	0
0.97	1	2	10	1.76517e+06	0
0.971	1	10	11	1.76517e+06	0
0.972	1	1	12	1.76517e+06	0
0.975	1	5	15	1.76517e+06	0
0.976	1	8	16	1.76517e+06	0
