% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
39	1	1	1	0	0	85	0	1	0
309	1	1	12	0	28	277	0	1	0
309	1	2	10	0	28	277	0	1	0
309	1	3	2	0	28	277	0	1	0
309	1	4	3	0	28	277	0	1	0
309	1	6	1	0	28	277	0	1	0
309	1	7	9	0	28	277	0	1	0
309	1	9	4	0	28	277	0	1	0
309	1	10	11	0	28	277	0	1	0
310	1	2	10	0	28	277	0	1	0
310	1	3	2	0	28	277	0	1	0
310	1	4	3	0	28	277	0	1	0
310	1	5	15	0	28	277	0	1	0
310	1	6	1	0	28	277	0	1	0
47	1	1	1	0	28	2292	0	1	0
310	1	7	9	0	28	277	0	1	0
310	1	8	16	0	28	277	0	1	0
310	1	9	4	0	28	277	0	1	0
49	1	1	1	0	28	2292	0	1	0
311	1	1	12	0	28	277	0	1	0
311	1	3	2	0	28	277	0	1	0
311	1	4	3	0	28	277	0	1	0
311	1	5	15	0	28	277	0	1	0
311	1	6	1	0	28	277	0	1	0
311	1	8	16	0	28	277	0	1	0
311	1	9	4	0	28	277	0	1	0
311	1	10	11	0	28	277	0	1	0
312	1	1	12	0	28	277	0	1	0
312	1	2	10	0	28	277	0	1	0
312	1	3	2	0	28	277	0	1	0
312	1	5	15	0	28	277	0	1	0
312	1	6	1	0	28	277	0	1	0
55	1	1	1	0	28	2292	0	1	0
312	1	7	9	0	28	277	0	1	0
312	1	8	16	0	28	277	0	1	0
57	1	1	1	0	28	2292	0	1	0
312	1	10	11	0	28	277	0	1	0
59	1	1	1	0	28	2292	0	1	0
313	1	1	12	0	28	277	0	1	0
313	1	2	10	0	28	277	0	1	0
313	1	4	3	0	28	277	0	1	0
313	1	5	15	0	28	277	0	1	0
313	1	7	9	0	28	277	0	1	0
313	1	8	16	0	28	277	0	1	0
313	1	9	4	0	28	277	0	1	0
313	1	10	11	0	28	277	0	1	0
67	1	1	1	0	28	2292	0	1	0
314	1	1	12	0	28	277	0	1	0
314	1	2	10	0	28	277	0	1	0
314	1	3	2	0	28	277	0	1	0
314	1	4	3	0	28	277	0	1	0
69	1	1	1	0	28	2292	0	1	0
314	1	6	1	0	28	277	0	1	0
314	1	7	9	0	28	277	0	1	0
314	1	9	4	0	28	277	0	1	0
314	1	10	11	0	28	277	0	1	0
315	1	2	10	0	28	277	0	1	0
315	1	3	2	0	28	277	0	1	0
315	1	4	3	0	28	277	0	1	0
315	1	5	15	0	28	277	0	1	0
315	1	6	1	0	28	277	0	1	0
315	1	7	9	0	28	277	0	1	0
75	1	1	1	0	28	2292	0	1	0
315	1	8	16	0	28	277	0	1	0
315	1	9	4	0	28	277	0	1	0
77	1	1	1	0	28	2292	0	1	0
79	1	1	1	0	28	2292	0	1	0
316	1	1	12	0	28	277	0	1	0
316	1	3	2	0	28	277	0	1	0
316	1	4	3	0	28	277	0	1	0
316	1	5	15	0	28	277	0	1	0
316	1	6	1	0	28	277	0	1	0
316	1	8	16	0	28	277	0	1	0
316	1	9	4	0	28	277	0	1	0
316	1	10	11	0	28	277	0	1	0
317	1	1	12	0	28	277	0	1	0
317	1	2	10	0	28	277	0	1	0
87	1	1	1	0	28	2292	0	1	0
317	1	3	2	0	28	277	0	1	0
317	1	5	15	0	28	277	0	1	0
