
Time (Seconds) = 0.203	Count = 1
Time (Seconds) = 0.702	Count = 2
Time (Seconds) = 1.404	Count = 3
Time (Seconds) = 2.368	Count = 4
Time (Seconds) = 3.364	Count = 5
Time (Seconds) = 3.579	Count = 6
Time (Seconds) = 5.873	Count = 7
Time (Seconds) = 6.410	Count = 8
Time (Seconds) = 6.472	Count = 9
Time (Seconds) = 6.941	Count = 10
Time (Seconds) = 7.137	Count = 11
Time (Seconds) = 7.718	Count = 12
Time (Seconds) = 9.122	Count = 13
Time (Seconds) = 9.300	Count = 14
Time (Seconds) = 13.216	Count = 15
Time (Seconds) = 13.392	Count = 16
Time (Seconds) = 13.450	Count = 17
Time (Seconds) = 13.630	Count = 18
Time (Seconds) = 16.415	Count = 19
Time (Seconds) = 17.080	Count = 20
Time (Seconds) = 18.587	Count = 21
Time (Seconds) = 19.663	Count = 22
Time (Seconds) = 20.640	Count = 23
Time (Seconds) = 21.648	Count = 24
Time (Seconds) = 21.691	Count = 25
Time (Seconds) = 22.408	Count = 26
Time (Seconds) = 23.453	Count = 27
Time (Seconds) = 24.646	Count = 28
Time (Seconds) = 24.728	Count = 29
Time (Seconds) = 25.083	Count = 30
Time (Seconds) = 25.832	Count = 31
Time (Seconds) = 27.036	Count = 32
Time (Seconds) = 27.812	Count = 33
Time (Seconds) = 29.995	Count = 34
Time (Seconds) = 30.269	Count = 35
Time (Seconds) = 35.613	Count = 36
Time (Seconds) = 36.157	Count = 37
Time (Seconds) = 36.442	Count = 38
Time (Seconds) = 36.971	Count = 39
Time (Seconds) = 37.623	Count = 40
Time (Seconds) = 39.374	Count = 41
Time (Seconds) = 40.446	Count = 42
Time (Seconds) = 40.581	Count = 43
Time (Seconds) = 42.434	Count = 44
Time (Seconds) = 43.423	Count = 45
Time (Seconds) = 44.392	Count = 46
Time (Seconds) = 44.724	Count = 47
Time (Seconds) = 46.042	Count = 48
Time (Seconds) = 46.461	Count = 49
Time (Seconds) = 47.711	Count = 50
Time (Seconds) = 48.325	Count = 51
Time (Seconds) = 49.317	Count = 52
Time (Seconds) = 49.859	Count = 53
Time (Seconds) = 50.616	Count = 54
Time (Seconds) = 52.443	Count = 55
Time (Seconds) = 54.525	Count = 56
Time (Seconds) = 54.729	Count = 57
Time (Seconds) = 55.185	Count = 58
Time (Seconds) = 56.079	Count = 59
Time (Seconds) = 56.550	Count = 60
Time (Seconds) = 57.186	Count = 61
Time (Seconds) = 59.999	Count = 62
Time (Seconds) = 62.572	Count = 63
Time (Seconds) = 63.331	Count = 64
Time (Seconds) = 63.927	Count = 65
Time (Seconds) = 64.264	Count = 66
Time (Seconds) = 64.302	Count = 67
Time (Seconds) = 65.694	Count = 68
Time (Seconds) = 67.382	Count = 69
Time (Seconds) = 67.386	Count = 70
Time (Seconds) = 67.711	Count = 71
Time (Seconds) = 67.864	Count = 72
Time (Seconds) = 68.146	Count = 73
Time (Seconds) = 68.231	Count = 74
Time (Seconds) = 68.791	Count = 75
Time (Seconds) = 69.446	Count = 76
Time (Seconds) = 69.886	Count = 77
Time (Seconds) = 69.979	Count = 78
Time (Seconds) = 70.883	Count = 79
Time (Seconds) = 72.202	Count = 80
Time (Seconds) = 72.591	Count = 81
Time (Seconds) = 73.391	Count = 82
Time (Seconds) = 73.791	Count = 83
Time (Seconds) = 73.867	Count = 84
Time (Seconds) = 74.683	Count = 85
Time (Seconds) = 74.841	Count = 86
Time (Seconds) = 78.870	Count = 87
Time (Seconds) = 78.872	Count = 88
Time (Seconds) = 78.923	Count = 89
Time (Seconds) = 79.271	Count = 90
Time (Seconds) = 79.879	Count = 91
Time (Seconds) = 80.978	Count = 92
Time (Seconds) = 81.151	Count = 93
Time (Seconds) = 82.977	Count = 94
Time (Seconds) = 86.595	Count = 95
Time (Seconds) = 87.924	Count = 96
Time (Seconds) = 88.067	Count = 97
Time (Seconds) = 88.834	Count = 98
Time (Seconds) = 89.306	Count = 99
Time (Seconds) = 90.097	Count = 100
Time (Seconds) = 96.237	Count = 101
Time (Seconds) = 96.530	Count = 102
Time (Seconds) = 96.538	Count = 103
